Correlation_Pair;Correlation_Value;Absolute_Correlation
deltaTimestampOpeningSection1min <-> diffPriceClose_VA11PvaH;0.0324;0.0324
deltaTimestampOpeningSection1min <-> bullish_bigStand_abs_diff_blw;-0.0323;0.0323
deltaTimestampOpeningSection1min <-> diffPriceClose_VA16PvaH;0.0319;0.0319
deltaTimestampOpeningSection1min <-> bullish_askBigStand_abs_ratio_blw_special;-0.0319;0.0319
deltaTimestampOpeningSection1min <-> bullish_askBigHigh_abs_ratio_blw_special;-0.0319;0.0319
diffPriceCloseVWAPbyIndex <-> bullish_bidBigStand_abs_ratio_blw;0.0319;0.0319
deltaTimestampOpeningSection1min <-> diffPriceClose_VA21PvaH;0.0314;0.0314
deltaTimestampOpeningSection1min <-> perct_VA16P;0.0313;0.0313
deltaTimestampOpeningSection1min <-> perct_VA21P;0.0311;0.0311
deltaTimestampOpeningSection1min <-> perct_VA11P;0.0308;0.0308
deltaTimestampOpeningSection1min <-> bearish_ask_abs_ratio_abv;0.0306;0.0306
deltaTimestampOpeningSection1min <-> diffVolDelta_0_1Ratio;-0.0303;0.0303
deltaTimestampOpeningSection1min <-> bearish_ask_bid_ratio;-0.0302;0.0302
deltaTimestampOpeningSection1min <-> imbalance_score_low;0.0286;0.0286
diffPriceCloseVWAPbyIndex <-> bearish_extrem_revIntensity_ratio_extrem;0.0286;0.0286
deltaTimestampOpeningSection1min <-> diffPriceClose_VA6PvaH;0.0285;0.0285
deltaTimestampOpeningSection1min <-> bear_imbalance_high_3;-0.0285;0.0285
deltaTimestampOpeningSection1min <-> perct_VA6P;0.0282;0.0282
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_0;0.0270;0.0270
deltaTimestampOpeningSection1min <-> diffHighPrice_0_2;0.0260;0.0260
deltaTimestampOpeningSection1min <-> bullish_imnbScore_score;-0.0258;0.0258
diffPriceCloseVWAPbyIndex <-> bullish_asc_ask_bid_delta_imbalance;-0.0253;0.0253
deltaTimestampOpeningSection1min <-> range_strength_5_23;-0.0246;0.0246
diffPriceCloseVWAPbyIndex <-> bearish_asc_ask_bid_delta_imbalance;0.0246;0.0246
deltaTimestampOpeningSection1min <-> atr;-0.0244;0.0244
deltaTimestampOpeningSection1min <-> VolAbv_vol_ratio;-0.0244;0.0244
deltaTimestampOpeningSection1min <-> diffPriceClose_VA16PPoc;0.0241;0.0241
deltaTimestampOpeningSection1min <-> diffHighPrice_0_4;0.0238;0.0238
diffPriceClosePoc_0_0 <-> bearish_dsc_ask_bid_delta_imbalance;-0.0234;0.0234
deltaTimestampOpeningSection1min <-> diffPriceClose_VA21PPoc;0.0233;0.0233
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_4;0.0225;0.0225
deltaTimestampOpeningSection1min <-> diffPriceClose_VA11PPoc;0.0224;0.0224
deltaTimestampOpeningSection1min <-> candleSizeTicks;0.0223;0.0223
diffPriceCloseVWAPbyIndex <-> bearish_bidBigHigh_abs_ratio_abv_special;-0.0219;0.0219
deltaTimestampOpeningSection1min <-> asymetrie_volume;-0.0212;0.0212
deltaTimestampOpeningSection1min <-> poc_diff_ratio_6P_21P;-0.0211;0.0211
deltaTimestampOpeningSection1min <-> diffHighPrice_0_5;0.0207;0.0207
diffPriceCloseVWAPbyIndex <-> bearish_imbalance_evolution;0.0202;0.0202
deltaTimestampOpeningSection1min <-> bearish_ask_ratio;0.0201;0.0201
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_5;0.0197;0.0197
deltaTimestampOpeningSection1min <-> diffPriceClose_VA16PvaL;0.0197;0.0197
deltaTimestampOpeningSection1min <-> bandWidthBB;-0.0192;0.0192
deltaTimestampOpeningSection1min <-> poc_diff_ratio_6P_16P;-0.0181;0.0181
deltaTimestampOpeningSection1min <-> diffPriceClose_VA21PvaL;0.0180;0.0180
deltaTimestampOpeningSection1min <-> bull_imbalance_high_1;-0.0178;0.0178
deltaTimestampOpeningSection1min <-> VolBlw_vol_ratio;0.0177;0.0177
deltaTimestampOpeningSection1min <-> bullish_reversal_force;0.0176;0.0176
deltaTimestampOpeningSection1min <-> bearish_bid_ratio;0.0176;0.0176
diffPriceCloseVWAPbyIndex <-> bullish_askBigHigh_abs_ratio_blw;0.0176;0.0176
diffPriceCloseVWAPbyIndex <-> bullish_bidBigHigh_abs_ratio_blw_special;-0.0176;0.0176
deltaTimestampOpeningSection1min <-> diffPriceClose_VA11PvaL;0.0174;0.0174
deltaTimestampOpeningSection1min <-> diffPriceClose_VA6PPoc;0.0172;0.0172
deltaTimestampOpeningSection1min <-> diffPriceCloseVWAP;-0.0171;0.0171
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_2;0.0170;0.0170
deltaTimestampOpeningSection1min <-> poc_diff_ratio_6P_11P;-0.0161;0.0161
deltaTimestampOpeningSection1min <-> poc_diff_ratio_11P_21P;-0.0159;0.0159
deltaTimestampOpeningSection1min <-> diffHighPrice_0_3;0.0153;0.0153
deltaTimestampOpeningSection1min <-> poc_diff_6P_21P;0.0146;0.0146
deltaTimestampOpeningSection1min <-> poc_diff_6P_16P;0.0144;0.0144
deltaTimestampOpeningSection1min <-> diffVolCandle_0_1Ratio;0.0142;0.0142
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_1;0.0134;0.0134
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_3;0.0133;0.0133
deltaTimestampOpeningSection1min <-> bearish_bigStand_abs_diff_abv;0.0122;0.0122
deltaTimestampOpeningSection1min <-> is_in_range_10_32;-0.0121;0.0121
deltaTimestampOpeningSection1min <-> VolCandleMeanxRatio;0.0119;0.0119
deltaTimestampOpeningSection1min <-> bullish_ask_bid_ratio;0.0117;0.0117
deltaTimestampOpeningSection1min <-> diffLowPrice_0_4;0.0116;0.0116
deltaTimestampOpeningSection1min <-> poc_diff_6P_11P;0.0113;0.0113
deltaTimestampOpeningSection1min <-> pocDeltaPocVolRatio;-0.0107;0.0107
deltaTimestampOpeningSection1min <-> finished_auction_high;-0.0107;0.0107
deltaTimestampOpeningSection1min <-> ratio_delta_vol_VA6P;-0.0106;0.0106
deltaTimestampOpeningSection1min <-> diffHighPrice_0_1;0.0105;0.0105
deltaTimestampOpeningSection1min <-> diffPriceClose_VA6PvaL;0.0105;0.0105
deltaTimestampOpeningSection1min <-> ratio_delta_vol_VA11P;-0.0103;0.0103
deltaTimestampOpeningSection1min <-> market_regimeADX;0.0101;0.0101
deltaTimestampOpeningSection1min <-> is_in_range_5_23;-0.0099;0.0099
deltaTimestampOpeningSection1min <-> overlap_ratio_VA_11P_21P;-0.0097;0.0097
deltaTimestampOpeningSection1min <-> bullish_bid_score;-0.0091;0.0091
deltaTimestampOpeningSection1min <-> bull_imbalance_low_3;-0.0091;0.0091
deltaTimestampOpeningSection1min <-> finished_auction_low;-0.0090;0.0090
deltaTimestampOpeningSection1min <-> poc_diff_11P_21P;0.0088;0.0088
deltaTimestampOpeningSection1min <-> overlap_ratio_VA_6P_16P;-0.0087;0.0087
deltaTimestampOpeningSection1min <-> range_strength_10_32;-0.0087;0.0087
deltaTimestampOpeningSection1min <-> overlap_ratio_VA_6P_11P;-0.0082;0.0082
deltaTimestampOpeningSection1min <-> overlap_ratio_VA_6P_21P;-0.0081;0.0081
deltaTimestampOpeningSection1min <-> VolPocVolCandleRatio;-0.0077;0.0077
deltaTimestampOpeningSection1min <-> market_regimeADX_state;0.0071;0.0071
deltaTimestampOpeningSection1min <-> diffLowPrice_0_3;-0.0067;0.0067
deltaTimestampOpeningSection1min <-> diffLowPrice_0_5;0.0062;0.0062
deltaTimestampOpeningSection1min <-> cumDiffVolDeltaRatio;0.0053;0.0053
deltaTimestampOpeningSection1min <-> bearish_bigHigh_abs_diff_abv;0.0045;0.0045
deltaTimestampOpeningSection1min <-> bullish_ask_ratio;-0.0041;0.0041
deltaTimestampOpeningSection1min <-> bullish_ask_abs_ratio_blw;0.0038;0.0038
deltaTimestampOpeningSection1min <-> bull_imbalance_high_2;0.0035;0.0035
deltaTimestampOpeningSection1min <-> ratioDeltaAbv;-0.0032;0.0032
deltaTimestampOpeningSection1min <-> ratio_delta_vol_VA21P;-0.0031;0.0031
deltaTimestampOpeningSection1min <-> bear_imbalance_low_1;0.0025;0.0025
deltaTimestampOpeningSection1min <-> ratio_delta_vol_VA16P;-0.0020;0.0020
deltaTimestampOpeningSection1min <-> diffLowPrice_0_2;0.0015;0.0015
deltaTimestampOpeningSection1min <-> bull_imbalance_low_2;-0.0014;0.0014
deltaTimestampOpeningSection1min <-> bear_imbalance_high_2;-0.0014;0.0014
deltaTimestampOpeningSection1min <-> bullish_extrem_revIntensity_ratio_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_extrem_zone_volume_ratio_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_extrem_pressure_ratio_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_extrem_pressure_ratio_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_extrem_abs_ratio_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_extrem_abs_ratio_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bearish_extrem_vs_rest_activity_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_extrem_vs_rest_activity_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bearish_continuation_vs_reversal_special_extrem;-0.0423;0.0423
deltaTimestampOpeningSection1min <-> bullish_continuation_vs_reversal_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_continuation_vs_reversal_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bearish_repeat_ticks_ratio_extrem;0.2577;0.2577
deltaTimestampOpeningSection1min <-> bullish_repeat_ticks_ratio_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_repeat_ticks_ratio_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bearish_big_trade_ratio_special_extrem;-0.1548;0.1548
deltaTimestampOpeningSection1min <-> bearish_big_trade_imbalance_special_extrem;-0.1538;0.1538
deltaTimestampOpeningSection1min <-> bullish_big_trade_ratio_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_big_trade_ratio_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_big_trade_imbalance_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_big_trade_imbalance_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bearish_dsc_ask_bid_delta_imbalance;0.0788;0.0788
deltaTimestampOpeningSection1min <-> bullish_asc_dsc_ratio;0.0781;0.0781
deltaTimestampOpeningSection1min <-> bearish_extrem_pressure_ratio_special_extrem;-0.0733;0.0733
deltaTimestampOpeningSection1min <-> bearish_asc_ask_bid_delta_imbalance;-0.0687;0.0687
deltaTimestampOpeningSection1min <-> extrem_zone_significance_bearish_extrem;-0.0678;0.0678
deltaTimestampOpeningSection1min <-> extrem_asc_ratio_bearish_extrem;-0.0673;0.0673
deltaTimestampOpeningSection1min <-> bearish_repeat_ticks_ratio_special_extrem;-0.0625;0.0625
deltaTimestampOpeningSection1min <-> bearish_big_trade_ratio_extrem;0.0614;0.0614
deltaTimestampOpeningSection1min <-> bullish_asc_ask_bid_delta_imbalance;-0.0565;0.0565
deltaTimestampOpeningSection1min <-> extrem_ask_bid_imbalance_bearish_special_extrem;-0.0545;0.0545
deltaTimestampOpeningSection1min <-> bullish_bidBigHigh_abs_ratio_blw_special;-0.0483;0.0483
deltaTimestampOpeningSection1min <-> bearish_extrem_revIntensity_ratio_extrem;-0.0438;0.0438
deltaTimestampOpeningSection1min <-> bearish_extrem_abs_ratio_special_extrem;-0.0423;0.0423
deltaTimestampOpeningSection1min <-> extrem_ask_bid_imbalance_bearish_extrem;-0.0409;0.0409
deltaTimestampOpeningSection1min <-> bearish_big_trade_imbalance_extrem;0.0402;0.0402
deltaTimestampOpeningSection1min <-> bullish_asc_dsc_ratio_special;-0.0391;0.0391
deltaTimestampOpeningSection1min <-> bearish_extrem_vs_rest_activity_extrem;-0.0387;0.0387
deltaTimestampOpeningSection1min <-> bearish_asc_dsc_ratio_special;-0.0344;0.0344
deltaTimestampOpeningSection1min <-> bearish_extrem_zone_volume_ratio_extrem;-0.0343;0.0343
deltaTimestampOpeningSection1min <-> bearish_continuation_vs_reversal_extrem;-0.0336;0.0336
deltaTimestampOpeningSection1min <-> bullish_extrem_vs_rest_activity_special_extrem;-0.0324;0.0324
deltaTimestampOpeningSection1min <-> bullish_bigHigh_abs_diff_blw;-0.0277;0.0277
deltaTimestampOpeningSection1min <-> bearish_asc_dynamics;-0.0253;0.0253
deltaTimestampOpeningSection1min <-> bearish_asc_ask_bid_imbalance;-0.0253;0.0253
deltaTimestampOpeningSection1min <-> bearish_dsc_dynamics;-0.0222;0.0222
deltaTimestampOpeningSection1min <-> bearish_dsc_ask_bid_imbalance;-0.0221;0.0221
deltaTimestampOpeningSection1min <-> bullish_asc_dynamics;0.0201;0.0201
deltaTimestampOpeningSection1min <-> bullish_asc_ask_bid_imbalance;0.0201;0.0201
deltaTimestampOpeningSection1min <-> bearish_extrem_abs_ratio_extrem;-0.0182;0.0182
deltaTimestampOpeningSection1min <-> bearish_asc_dsc_ratio;-0.0180;0.0180
deltaTimestampOpeningSection1min <-> bullish_imbalance_evolution;0.0174;0.0174
deltaTimestampOpeningSection1min <-> extrem_asc_dsc_comparison_bearish_extrem;-0.0144;0.0144
deltaTimestampOpeningSection1min <-> bullish_dsc_dynamics;-0.0116;0.0116
deltaTimestampOpeningSection1min <-> bullish_dsc_ask_bid_imbalance;-0.0116;0.0116
deltaTimestampOpeningSection1min <-> bearish_imbalance_evolution;-0.0040;0.0040
deltaTimestampOpeningSection1min <-> bearish_extrem_pressure_ratio_extrem;0.0033;0.0033
deltaTimestampOpeningSection1min <-> bullish_dsc_ask_bid_delta_imbalance;-0.0024;0.0024
deltaTimestampOpeningSection1min <-> bearish_extrem_dsc_ratio_extrem;0.0010;0.0010
deltaTimestampOpeningSection1min <-> extrem_asc_ratio_bullish_extrem;nan;nan
deltaTimestampOpeningSection1min <-> extrem_dsc_ratio_bullish_extrem;nan;nan
deltaTimestampOpeningSection1min <-> extrem_zone_significance_bullish_extrem;nan;nan
deltaTimestampOpeningSection1min <-> extrem_ask_bid_imbalance_bullish;nan;nan
deltaTimestampOpeningSection1min <-> extrem_ask_bid_imbalance_bullish_special_extrem;nan;nan
deltaTimestampOpeningSection1min <-> extrem_asc_dsc_comparison_bullish_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_big_trade_ratio2_extrem;nan;nan
deltaTimestampOpeningSection1min <-> bullish_big_trade_ratio2_extrem_special;nan;nan
deltaTimestampOpeningSection1min <-> bullish_repeatAskBid_ratio;0.1792;0.1792
deltaTimestampOpeningSection1min <-> absorption_intensity_repeat_bullish_vol;0.1255;0.1255
deltaTimestampOpeningSection1min <-> bullish_absorption_intensity_repeat_count;0.1191;0.1191
deltaTimestampOpeningSection1min <-> bullish_volume_ratio_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_relatif_ratio_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_relatifDelta_ratio_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_buyer_pressure_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_seller_pressure_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_absorption_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_absorption_6Tick_special;nan;nan
deltaTimestampOpeningSection1min <-> bearish_repeat_ticks_ratio_6Tick;0.3440;0.3440
deltaTimestampOpeningSection1min <-> bearish_repeatAskBid_ratio;0.3003;0.3003
deltaTimestampOpeningSection1min <-> bearish_big_trade_ratio2_special_extrem;-0.1548;0.1548
deltaTimestampOpeningSection1min <-> bearish_absorption_intensity_repeat_count;0.1433;0.1433
deltaTimestampOpeningSection1min <-> absorption_intensity_repeat_bearish_vol;0.1390;0.1390
deltaTimestampOpeningSection1min <-> bearish_big_trade_ratio2_extrem;0.1112;0.1112
deltaTimestampOpeningSection1min <-> bullish_repeat_ticks_ratio_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bearish_price_dynamics_comparison_6Tick;-0.1094;0.1094
deltaTimestampOpeningSection1min <-> bearish_absorption_6Tick;-0.0974;0.0974
deltaTimestampOpeningSection1min <-> bullish_absorption_ratio;0.0781;0.0781
deltaTimestampOpeningSection1min <-> bullish_price_dynamics_comparison_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_price_dynamics_comparison_6Tick_special;nan;nan
deltaTimestampOpeningSection1min <-> bearish_activity_bid_ask_ratio_6Tick;0.0693;0.0693
deltaTimestampOpeningSection1min <-> bearish_absorption_ratio;0.0263;0.0263
deltaTimestampOpeningSection1min <-> bullish_activity_ask_bid_ratio_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bullish_repeat_ticks_imbalance_6Tick;nan;nan
deltaTimestampOpeningSection1min <-> bearish_ticks_imbalance_6Tick;0.0584;0.0584
deltaTimestampOpeningSection1min <-> bullish_ticks_imbalance_6Tick;nan;nan
deltaTimestampOpeningSection5min <-> deltaTimestampOpeningSection30min;0.9997;0.9997
deltaTimestampOpeningSection1min <-> bearish_seller_pressure_6Tick;0.0987;0.0987
deltaTimestampOpeningSection1min <-> bearish_relatif_ratio_6Tick;-0.0855;0.0855
deltaTimestampOpeningSection1min <-> bearish_buyer_pressure_6Tick;-0.0545;0.0545
deltaTimestampOpeningSection1min <-> bearish_absorption_intensity_repeat_count_special;-0.0523;0.0523
deltaTimestampOpeningSection1min <-> bullish_absorption_intensity_repeat_count_special;-0.0493;0.0493
deltaTimestampOpeningSection1min <-> naked_poc_dist_above;-0.0434;0.0434
deltaTimestampOpeningSection1min <-> bullish_absorption_ratio_special;-0.0391;0.0391
deltaTimestampOpeningSection1min <-> bullish_absorption_score;0.0364;0.0364
deltaTimestampOpeningSection1min <-> naked_poc_dist_below;0.0334;0.0334
deltaTimestampOpeningSection1min <-> bearish_repeat_ticks_imbalance_6Tick;0.0245;0.0245
deltaTimestampOpeningSection1min <-> count_AbvBlw_asym_ratio;-0.0241;0.0241
deltaTimestampOpeningSection1min <-> count_blw_tot_ratio;0.0241;0.0241
deltaTimestampOpeningSection1min <-> count_abv_tot_ratio;-0.0241;0.0241
deltaTimestampOpeningSection1min <-> bullish_market_context_score;-0.0230;0.0230
deltaTimestampOpeningSection1min <-> bearish_absorption_score;0.0222;0.0222
deltaTimestampOpeningSection1min <-> bearish_combined_pressure;0.0207;0.0207
deltaTimestampOpeningSection1min <-> bearish_absorption_ratio_special;-0.0192;0.0192
deltaTimestampOpeningSection1min <-> vol_volatility_score;0.0129;0.0129
deltaTimestampOpeningSection1min <-> bearish_price_dynamics_comparison_6Tick_special;-0.0127;0.0127
deltaTimestampOpeningSection1min <-> bearish_absorption_6Tick_special;-0.0125;0.0125
deltaTimestampOpeningSection1min <-> price_volume_dynamic;0.0117;0.0117
deltaTimestampOpeningSection1min <-> bearish_market_context_score;0.0112;0.0112
deltaTimestampOpeningSection1min <-> bearish_volume_ratio_6Tick;0.0033;0.0033
deltaTimestampOpeningSection1min <-> bullish_combined_pressure;0.0025;0.0025
deltaTimestampOpeningSection1min <-> bearish_relatifDelta_ratio_6Tick;0.0010;0.0010
deltaTimestampOpeningSection5min <-> VolAbvState;nan;nan
deltaTimestampOpeningSection5min <-> bearish_bid_abs_ratio_abv;0.1299;0.1299
deltaTimestampOpeningSection5min <-> bull_imbalance_low_1;0.1265;0.1265
deltaTimestampOpeningSection5min <-> bullish_bid_abs_ratio_blw;0.1212;0.1212
deltaTimestampOpeningSection5min <-> bearish_askBigHigh_abs_ratio_abv_special;-0.1151;0.1151
deltaTimestampOpeningSection5min <-> bearish_bidBigHigh_abs_ratio_abv_special;-0.1108;0.1108
deltaTimestampOpeningSection5min <-> bear_imbalance_high_1;0.0931;0.0931
deltaTimestampOpeningSection5min <-> bull_imbalance_high_0;-0.0813;0.0813
deltaTimestampOpeningSection5min <-> bullish_bidBigStand_abs_ratio_blw;0.0760;0.0760
deltaTimestampOpeningSection5min <-> diffPriceCloseVWAPbyIndex;-0.0751;0.0751
deltaTimestampOpeningSection5min <-> bearish_askBigStand_abs_ratio_abv;0.0750;0.0750
deltaTimestampOpeningSection5min <-> bearish_imnbScore_score;-0.0678;0.0678
deltaTimestampOpeningSection5min <-> imbalance_score_high;0.0656;0.0656
deltaTimestampOpeningSection5min <-> bearish_askBigHigh_abs_ratio_abv;0.0621;0.0621
deltaTimestampOpeningSection5min <-> bearish_bidBigHigh_abs_ratio_abv;0.0605;0.0605
deltaTimestampOpeningSection5min <-> bullish_abs_diff_blw;-0.0598;0.0598
deltaTimestampOpeningSection5min <-> bearish_bidBigStand_abs_ratio_abv;0.0526;0.0526
deltaTimestampOpeningSection5min <-> bearish_bidBigStand_abs_ratio_abv_special;-0.0507;0.0507
deltaTimestampOpeningSection5min <-> bearish_abs_diff_abv;-0.0491;0.0491
deltaTimestampOpeningSection5min <-> bear_imbalance_low_2;0.0484;0.0484
deltaTimestampOpeningSection5min <-> bullish_bidBigStand_abs_ratio_blw_special;-0.0483;0.0483
deltaTimestampOpeningSection5min <-> bearish_ask_score;0.0472;0.0472
deltaTimestampOpeningSection5min <-> bear_imbalance_low_0;-0.0464;0.0464
deltaTimestampOpeningSection5min <-> bullish_bid_ratio;0.0462;0.0462
deltaTimestampOpeningSection5min <-> bearish_bid_score;-0.0415;0.0415
deltaTimestampOpeningSection5min <-> perctBB;0.0405;0.0405
deltaTimestampOpeningSection5min <-> bearish_askBigStand_abs_ratio_abv_special;-0.0405;0.0405
deltaTimestampOpeningSection5min <-> bullish_askBigStand_abs_ratio_blw;0.0404;0.0404
deltaTimestampOpeningSection5min <-> ratioDeltaBlw;-0.0378;0.0378
deltaTimestampOpeningSection5min <-> bullish_ask_score;-0.0339;0.0339
deltaTimestampOpeningSection5min <-> diffLowPrice_0_1;-0.0332;0.0332
deltaTimestampOpeningSection5min <-> bearish_reversal_force;-0.0332;0.0332
deltaTimestampOpeningSection5min <-> VolBlwState;0.0324;0.0324
deltaTimestampOpeningSection5min <-> diffPriceClose_VA11PvaH;0.0324;0.0324
deltaTimestampOpeningSection5min <-> bullish_bigStand_abs_diff_blw;-0.0323;0.0323
deltaTimestampOpeningSection5min <-> diffPriceClose_VA16PvaH;0.0319;0.0319
