Correlation_Pair;Correlation_Value
bullish_imbalance_evolution <-> bullish_dsc_dynamics;-0.9149
bullish_imbalance_evolution <-> bullish_dsc_ask_bid_imbalance;-0.9149
bullish_abs_diff_blw <-> ratioDeltaBlw;0.9136
bearish_abs_diff_abv <-> bearish_ask_bid_ratio;0.9126
ratioDeltaAbv <-> bearish_ask_bid_ratio;0.9103
diffPriceClose_VA16PvaL <-> diffPriceClose_VA16PPoc;0.9090
bullish_abs_diff_blw <-> bullish_bid_ratio;-0.9083
bullish_imbalance_evolution <-> bullish_asc_dynamics;0.9082
bullish_imbalance_evolution <-> bullish_asc_ask_bid_imbalance;0.9080
diffPriceClose_VA21PvaH <-> diffPriceClose_VA21PPoc;0.9080
absorption_intensity_repeat_bearish_vol <-> bearish_ask_ratio;0.9070
bullish_abs_diff_blw <-> bullish_ask_ratio;0.9059
diffPriceClose_VA21PvaH <-> perct_VA21P;0.9055
bullish_abs_diff_blw <-> bullish_ask_abs_ratio_blw;0.9053
diffPriceClose_VA16PvaH <-> perct_VA16P;0.9030
count_abv_tot_ratio <-> candleSizeTicks;-0.9025
count_blw_tot_ratio <-> candleSizeTicks;0.9025
count_AbvBlw_asym_ratio <-> candleSizeTicks;-0.9025
bearish_bid_ratio <-> bearish_ask_bid_ratio;-0.9007
bearish_absorption_intensity_repeat_count <-> absorption_intensity_repeat_bearish_vol;0.9005
diffPriceClose_VA16PvaH <-> diffPriceClose_VA16PPoc;0.9005
asymetrie_volume <-> candleSizeTicks;-0.9000
VolAbv_vol_ratio <-> candleSizeTicks;-0.8988
diffPriceClose_VA11PvaH <-> perct_VA11P;0.8987
VolBlw_vol_ratio <-> candleSizeTicks;0.8987
bullish_reversal_force <-> candleSizeTicks;0.8985
diffPriceClose_VA11PvaL <-> diffPriceClose_VA11PPoc;0.8953
diffPriceClose_VA21PvaL <-> diffPriceClose_VA16PvaL;0.8948
bearish_bid_ratio <-> bearish_ask_ratio;-0.8933
diffPriceClosePoc_0_1 <-> candleSizeTicks;0.8904
diffPriceClose_VA11PvaH <-> diffPriceClose_VA11PPoc;0.8881
diffHighPrice_0_3 <-> diffPriceClosePoc_0_4;0.8873
diffPriceClose_VA6PvaH <-> perct_VA6P;0.8871
bearish_reversal_force <-> candleSizeTicks;-0.8869
bearish_ask_ratio <-> bearish_ask_bid_ratio;0.8836
bearish_ask_abs_ratio_abv <-> bearish_bid_ratio;-0.8792
bullish_absorption_score <-> vol_volatility_score;0.8789
ratioDeltaBlw <-> bullish_ask_bid_ratio;-0.8784
bullish_ask_ratio <-> bullish_ask_bid_ratio;-0.8764
bullish_bid_ratio <-> bullish_ask_bid_ratio;0.8761
bullish_absorption_score <-> bearish_activity_volume_score;0.8753
bearish_ask_abs_ratio_abv <-> bearish_ask_bid_ratio;0.8726
diffPriceClose_VA6PvaH <-> diffPriceClose_VA6PPoc;0.8710
diffHighPrice_0_4 <-> diffPriceClosePoc_0_3;0.8694
diffHighPrice_0_2 <-> diffHighPrice_0_1;0.8680
diffPriceClose_VA6PvaL <-> diffPriceClose_VA6PPoc;0.8657
bullish_abs_diff_blw <-> bullish_ask_bid_ratio;-0.8655
bullish_ask_abs_ratio_blw <-> bullish_ask_bid_ratio;-0.8643
diffPriceClose_VA21PvaH <-> diffPriceClose_VA16PvaH;0.8640
diffHighPrice_0_1 <-> candleSizeTicks;0.8626
absorption_intensity_repeat_bearish_vol <-> ratioDeltaAbv;0.8617
poc_diff_6P_21P <-> diffPriceClose_VA21PPoc;0.8612
bearish_absorption_score <-> bearish_extreme_volume_score;0.8596
diffPriceClose_VA21PPoc <-> perct_VA21P;0.8568
bearish_absorption_score <-> bearish_activity_volume_score;0.8558
bullish_abs_diff_blw <-> bullish_bid_abs_ratio_blw;-0.8545
absorption_intensity_repeat_bullish_vol <-> bullish_abs_diff_blw;-0.8515
bearish_volume_quality <-> bearish_activity_volume_score;0.8513
bullish_dsc_ask_bid_delta_imbalance <-> bullish_dsc_dynamics;-0.8483
bullish_dsc_ask_bid_delta_imbalance <-> bullish_dsc_ask_bid_imbalance;-0.8483
bearish_bid_abs_ratio_abv <-> ratioDeltaAbv;-0.8478
diffPriceClose_VA16PvaL <-> diffPriceClose_VA11PvaL;0.8461
bullish_activity_volume_score <-> vol_volatility_score;0.8452
diffPriceClosePoc_0_5 <-> diffPriceClosePoc_0_4;0.8451
diffPriceClose_VA16PPoc <-> perct_VA16P;0.8421
bearish_bid_abs_ratio_abv <-> bearish_ask_bid_ratio;-0.8368
bullish_asc_ask_bid_imbalance <-> bullish_ask_score;0.8343
bullish_asc_dynamics <-> bullish_ask_score;0.8342
diffLowPrice_0_5 <-> diffPriceClosePoc_0_5;0.8336
bearish_asc_ask_bid_delta_imbalance <-> bearish_asc_dynamics;0.8300
bearish_asc_ask_bid_delta_imbalance <-> bearish_asc_ask_bid_imbalance;0.8300
bearish_absorption_intensity_repeat_count <-> bearish_ask_abs_ratio_abv;0.8294
perct_VA21P <-> perct_VA16P;0.8280
diffHighPrice_0_2 <-> diffPriceClosePoc_0_1;0.8280
bearish_continuation_vs_reversal_extrem <-> bearish_extrem_pressure_ratio_extrem;-0.8245
bearish_imbalance_evolution <-> bearish_asc_dsc_ratio;0.8244
diffPriceClose_VA11PPoc <-> perct_VA11P;0.8243
bullish_absorption_intensity_repeat_count <-> bullish_abs_diff_blw;-0.8231
diffPriceClose_VA21PPoc <-> diffPriceClose_VA16PvaL;0.8221
bearish_extreme_volume_score <-> vol_volatility_score;0.8209
bearish_dsc_dynamics <-> bearish_bid_score;0.8205
bearish_dsc_ask_bid_imbalance <-> bearish_bid_score;0.8198
absorption_intensity_repeat_bearish_vol <-> bearish_abs_diff_abv;0.8194
diffPriceClose_VA21PPoc <-> diffPriceClose_VA16PPoc;0.8184
diffPriceClose_VA6PPoc <-> perct_VA6P;0.8174
bearish_asc_ask_bid_delta_imbalance <-> bearish_ask_bid_ratio;0.8169
bearish_absorption_intensity_repeat_count <-> bearish_ask_ratio;0.8160
bearish_absorption_score <-> bullish_activity_volume_score;0.8152
diffPriceClosePoc_0_4 <-> diffPriceClosePoc_0_3;0.8141
ratio_delta_vol_VA21P <-> ratio_delta_vol_VA16P;0.8118
bearish_activity_volume_score <-> vol_volatility_score;0.8105
perct_VA21P <-> diffPriceClose_VA16PvaH;0.8101
poc_diff_6P_16P <-> diffPriceClose_VA16PPoc;0.8099
poc_diff_6P_21P <-> poc_diff_6P_16P;0.8079
diffPriceCloseVWAPbyIndex <-> diffPriceCloseVWAP;0.8077
VolBlw_vol_ratio <-> VolPocVolCandleRatio;-0.8051
VolPocVolCandleRatio <-> bullish_reversal_force;-0.8048
count_abv_tot_ratio <-> diffPriceClosePoc_0_1;-0.8046
count_blw_tot_ratio <-> diffPriceClosePoc_0_1;0.8046
count_AbvBlw_asym_ratio <-> diffPriceClosePoc_0_1;-0.8046
diffHighPrice_0_5 <-> diffPriceClosePoc_0_4;0.8039
asymetrie_volume <-> diffPriceClosePoc_0_1;-0.8039
asymetrie_volume <-> VolPocVolCandleRatio;0.8033
VolAbv_vol_ratio <-> diffPriceClosePoc_0_1;-0.8033
VolPocVolCandleRatio <-> bearish_reversal_force;0.8027
VolBlw_vol_ratio <-> diffPriceClosePoc_0_1;0.8024
bearish_asc_ask_bid_delta_imbalance <-> bearish_abs_diff_abv;0.8024
bullish_reversal_force <-> diffPriceClosePoc_0_1;0.8022
bullish_asc_ask_bid_delta_imbalance <-> bullish_ask_score;0.8009
VolAbv_vol_ratio <-> VolPocVolCandleRatio;0.8000
diffLowPrice_0_4 <-> diffPriceClosePoc_0_5;0.7988
bullish_bid_abs_ratio_blw <-> bullish_ask_bid_ratio;0.7952
bearish_continuation_vs_reversal_extrem <-> bearish_extrem_revIntensity_ratio_extrem;0.7950
bearish_reversal_force <-> diffPriceClosePoc_0_1;-0.7944
bullish_absorption_score <-> bearish_extreme_volume_score;0.7930
absorption_intensity_repeat_bearish_vol <-> bearish_bid_ratio;-0.7919
bearish_asc_dynamics <-> bearish_asc_dsc_ratio;0.7904
bearish_asc_ask_bid_imbalance <-> bearish_asc_dsc_ratio;0.7904
absorption_intensity_repeat_bullish_vol <-> bullish_ask_bid_ratio;0.7899
count_blw_tot_ratio <-> VolPocVolCandleRatio;-0.7881
count_abv_tot_ratio <-> VolPocVolCandleRatio;0.7881
count_AbvBlw_asym_ratio <-> VolPocVolCandleRatio;0.7881
diffLowPrice_0_5 <-> diffHighPrice_0_5;0.7880
bearish_volume_quality <-> bullish_activity_volume_score;0.7873
bearish_absorption_intensity_repeat_count <-> ratioDeltaAbv;0.7867
bullish_activity_volume_score <-> bearish_activity_volume_score;0.7859
count_abv_tot_ratio <-> diffHighPrice_0_1;-0.7855
count_AbvBlw_asym_ratio <-> diffHighPrice_0_1;-0.7855
count_blw_tot_ratio <-> diffHighPrice_0_1;0.7855
asymetrie_volume <-> diffHighPrice_0_1;-0.7853
VolAbv_vol_ratio <-> diffHighPrice_0_1;-0.7851
VolBlw_vol_ratio <-> diffHighPrice_0_1;0.7836
bullish_reversal_force <-> diffHighPrice_0_1;0.7834
diffHighPrice_0_4 <-> diffPriceClosePoc_0_5;0.7829
poc_diff_6P_21P <-> diffPriceClose_VA21PvaL;0.7826
diffPriceClose_VA16PvaH <-> diffPriceClose_VA11PvaH;0.7820
extrem_ask_bid_imbalance_bearish_extrem <-> bearish_extrem_dsc_ratio_extrem;-0.7817
bullish_dsc_ask_bid_delta_imbalance <-> ratioDeltaBlw;0.7806
diffPriceClose_VA21PvaH <-> diffPriceClose_VA16PPoc;0.7795
bullish_asc_ask_bid_delta_imbalance <-> bullish_asc_ask_bid_imbalance;0.7793
bullish_asc_ask_bid_delta_imbalance <-> bullish_asc_dynamics;0.7790
bullish_dsc_ask_bid_delta_imbalance <-> bullish_bid_ratio;-0.7780
bearish_asc_ask_bid_delta_imbalance <-> ratioDeltaAbv;0.7773
bearish_reversal_force <-> diffHighPrice_0_1;-0.7771
poc_diff_11P_21P <-> poc_diff_6P_21P;0.7766
bearish_dsc_dynamics <-> bearish_imnbScore_score;0.7765
bearish_dsc_ask_bid_imbalance <-> bearish_imnbScore_score;0.7758
diffPriceClose_VA21PvaL <-> diffPriceClose_VA16PPoc;0.7749
diffPriceClose_VA16PPoc <-> diffPriceClose_VA11PvaL;0.7728
bullish_asc_ask_bid_delta_imbalance <-> bullish_abs_diff_blw;0.7709
bearish_bid_abs_ratio_abv <-> bearish_ask_ratio;-0.7703
poc_diff_6P_21P <-> diffPriceClose_VA21PvaH;0.7691
diffPriceClose_VA21PvaL <-> diffPriceClose_VA21PvaH;0.7685
diffHighPrice_0_2 <-> diffPriceClosePoc_0_2;0.7673
diffPriceClose_VA21PPoc <-> diffPriceClose_VA16PvaH;0.7672
bullish_absorption_score <-> bullish_activity_volume_score;0.7665
diffHighPrice_0_3 <-> diffPriceClosePoc_0_5;0.7659
bearish_asc_ask_bid_delta_imbalance <-> bearish_ask_ratio;0.7657
bearish_dsc_ask_bid_imbalance <-> bearish_asc_dynamics;-0.7649
bearish_dsc_ask_bid_imbalance <-> bearish_asc_ask_bid_imbalance;-0.7649
diffPriceClose_VA11PvaL <-> diffPriceClosePoc_0_5;0.7641
bearish_asc_ask_bid_imbalance <-> bearish_dsc_dynamics;-0.7640
bearish_dsc_dynamics <-> bearish_asc_dynamics;-0.7640
bullish_imbalance_evolution <-> bullish_ask_abs_ratio_blw;0.7630
absorption_intensity_repeat_bearish_vol <-> bearish_ask_bid_ratio;0.7621
bearish_asc_ask_bid_delta_imbalance <-> bearish_bid_ratio;-0.7608
bearish_asc_ask_bid_delta_imbalance <-> bearish_ask_abs_ratio_abv;0.7607
bullish_absorption_intensity_repeat_count <-> bullish_ask_bid_ratio;0.7605
bearish_imnbScore_score <-> bearish_bid_score;0.7604
bullish_imbalance_evolution <-> bullish_ask_ratio;0.7599
diffLowPrice_0_4 <-> diffHighPrice_0_5;0.7599
diffPriceClose_VA11PvaL <-> diffHighPrice_0_5;0.7589
bearish_dsc_ask_bid_imbalance <-> bearish_asc_dsc_ratio;-0.7585
bearish_dsc_dynamics <-> bearish_asc_dsc_ratio;-0.7571
bearish_extreme_volume_score <-> bearish_activity_volume_score;0.7568
perct_VA21P <-> diffPriceClose_VA16PPoc;0.7558
bullish_dsc_ask_bid_delta_imbalance <-> bullish_ask_ratio;0.7555
bearish_extrem_revIntensity_ratio_extrem <-> imbalance_score_high;-0.7551
diffHighPrice_0_2 <-> candleSizeTicks;0.7534
bullish_dsc_ask_bid_delta_imbalance <-> bullish_ask_abs_ratio_blw;0.7524
diffPriceClose_VA16PvaL <-> diffPriceClose_VA16PvaH;0.7519
diffLowPrice_0_4 <-> diffPriceClosePoc_0_4;0.7514
